page,sexo,apostila,aposentou,faleceu
556,M,FALSE,TRUE,FALSE
557,M,FALSE,TRUE,TRUE
558,M,FALSE,TRUE,TRUE
559,M,FALSE,TRUE,FALSE
560,M,FALSE,TRUE,TRUE
561,M,FALSE,TRUE,FALSE
562,M,FALSE,TRUE,TRUE
563,M,FALSE,TRUE,FALSE
564,M,FALSE,TRUE,FALSE
565,M,FALSE,TRUE,TRUE
566,M,FALSE,TRUE,TRUE
567,M,FALSE,TRUE,FALSE
568,M,FALSE,TRUE,FALSE
569,M,FALSE,TRUE,FALSE
570,F,FALSE,TRUE,FALSE
571,M,FALSE,TRUE,FALSE
572,M,FALSE,TRUE,FALSE
573,M,FALSE,TRUE,TRUE
574,M,FALSE,TRUE,FALSE
575,M,FALSE,TRUE,FALSE
576,M,FALSE,TRUE,FALSE
577,M,FALSE,TRUE,TRUE
578,M,FALSE,FALSE,TRUE
579,M,FALSE,TRUE,FALSE
580,M,FALSE,TRUE,FALSE
581,M,FALSE,TRUE,FALSE
582,M,FALSE,TRUE,FALSE
583,M,FALSE,TRUE,FALSE
584,M,FALSE,TRUE,FALSE
585,M,FALSE,TRUE,FALSE
586,M,FALSE,TRUE,FALSE
587,M,FALSE,TRUE,FALSE
588,M,FALSE,TRUE,TRUE
589,M,FALSE,TRUE,TRUE
590,M,FALSE,TRUE,TRUE
591,M,FALSE,TRUE,FALSE
592,M,FALSE,TRUE,FALSE
593,M,FALSE,TRUE,FALSE
594,M,FALSE,FALSE,FALSE
595,M,FALSE,TRUE,FALSE
596,M,FALSE,TRUE,TRUE
597,M,FALSE,TRUE,FALSE
598,M,FALSE,TRUE,TRUE
599,M,FALSE,TRUE,FALSE
600,M,FALSE,TRUE,FALSE
601,M,FALSE,FALSE,FALSE
602,M,FALSE,TRUE,TRUE
603,M,FALSE,TRUE,FALSE
604,M,FALSE,TRUE,TRUE
605,M,FALSE,TRUE,FALSE
606,M,FALSE,TRUE,TRUE
607,M,FALSE,TRUE,FALSE
608,M,FALSE,TRUE,FALSE
609,M,FALSE,TRUE,FALSE
610,M,FALSE,TRUE,FALSE
611,M,FALSE,FALSE,TRUE
612,M,FALSE,TRUE,FALSE
613,M,FALSE,TRUE,FALSE
614,M,FALSE,TRUE,FALSE
615,M,FALSE,TRUE,FALSE
616,M,FALSE,TRUE,TRUE
617,M,FALSE,FALSE,TRUE
618,M,FALSE,TRUE,FALSE
619,M,TRUE,TRUE,TRUE
620,M,FALSE,TRUE,FALSE
621,M,FALSE,FALSE,TRUE
622,M,FALSE,FALSE,FALSE
623,M,FALSE,TRUE,FALSE
624,M,FALSE,TRUE,FALSE
625,M,FALSE,TRUE,FALSE
626,M,FALSE,TRUE,FALSE
627,M,FALSE,TRUE,FALSE
628,M,FALSE,FALSE,FALSE
629,M,FALSE,TRUE,FALSE
630,M,FALSE,TRUE,FALSE
631,F,FALSE,TRUE,TRUE
632,M,FALSE,TRUE,TRUE
633,M,FALSE,TRUE,FALSE
634,M,FALSE,TRUE,TRUE
635,M,FALSE,TRUE,FALSE
636,M,FALSE,TRUE,FALSE
637,M,FALSE,TRUE,FALSE
638,M,FALSE,TRUE,FALSE
639,M,FALSE,TRUE,TRUE
640,M,FALSE,TRUE,TRUE
641,M,FALSE,TRUE,FALSE
642,M,FALSE,FALSE,TRUE
643,M,FALSE,FALSE,TRUE
644,M,FALSE,TRUE,TRUE
645,M,FALSE,TRUE,FALSE
646,M,FALSE,FALSE,FALSE
647,M,FALSE,TRUE,FALSE
648,M,FALSE,TRUE,FALSE
649,M,FALSE,TRUE,TRUE
650,M,FALSE,TRUE,FALSE
651,M,FALSE,FALSE,TRUE
652,M,FALSE,TRUE,FALSE
653,M,FALSE,FALSE,FALSE
654,M,FALSE,TRUE,FALSE
655,M,FALSE,TRUE,TRUE
656,M,FALSE,TRUE,TRUE
657,M,FALSE,TRUE,FALSE
658,M,FALSE,TRUE,FALSE
659,M,FALSE,TRUE,FALSE
660,M,FALSE,TRUE,FALSE
661,M,TRUE,TRUE,FALSE
662,M,FALSE,FALSE,FALSE
663,M,TRUE,TRUE,FALSE
664,M,TRUE,FALSE,FALSE
